,volcano,hazard,VEI,prob,mass,buffer,volume,length_primary,length_unclassified,length_residential,length_service,length_living_street,length_tertiary,length_secondary,length_trunk,length_trunk_link,length_primary_link,length_tertiary_link,length_motorway,length_motorway_link,length_secondary_link,length_road,month,length_motorcycle_link
2,Cereme,Tephra,3.0,50,1.0,,,168.21,743.2,3135.64,168.25,10.21,207.45,61.23,,,0.37,0.02,24.37,4.02,,,1,
3,Cereme,Tephra,3.0,50,100.0,,,,,7.7,,,,,,,,,,,,,1,
4,Cereme,Tephra,3.0,90,1.0,,,124.14,513.73,1883.01,113.88,8.6,139.0,28.15,,,0.17,,,,,,1,
5,Cereme,Tephra,3.0,90,100.0,,,,,1.55,,,,,,,,,,,,,1,
6,Cereme,Tephra,4.0,10,1.0,,,745.84,6694.92,24906.6,2354.84,184.76,1734.65,687.02,569.03,7.06,8.64,0.96,384.88,86.55,1.67,,1,
7,Cereme,Tephra,4.0,10,100.0,,,147.7,499.12,1841.88,104.03,4.74,163.9,27.58,,,0.13,,,,,,1,
8,Cereme,Tephra,4.0,50,1.0,,,514.53,5176.33,18774.65,1536.09,86.31,1212.55,495.42,415.9,5.34,3.88,0.69,254.81,49.57,1.33,,1,
9,Cereme,Tephra,4.0,50,100.0,,,78.29,370.51,1167.75,77.37,2.76,109.24,10.15,,,0.01,,,,,,1,
10,Cereme,Tephra,4.0,90,1.0,,,326.03,3594.29,12460.53,927.1,32.39,724.76,333.24,314.55,3.26,1.85,0.35,189.62,37.89,0.46,,1,
11,Cereme,Tephra,4.0,90,100.0,,,57.03,235.73,680.13,48.41,1.09,74.52,0.3,,,,,,,,,1,
12,Cereme,Tephra,5.0,10,1.0,,,3392.46,26762.57,94897.89,13891.21,2984.69,8871.17,3130.85,2755.59,63.7,52.44,15.35,1453.6,508.54,18.76,4.08,1,
13,Cereme,Tephra,5.0,10,100.0,,,554.31,3551.73,16930.04,1526.93,147.3,1031.17,513.15,302.81,3.57,6.95,0.54,223.31,52.73,1.21,,1,
14,Cereme,Tephra,5.0,50,1.0,,,3514.4,26581.2,96408.43,14483.38,3062.48,8408.88,3152.73,2601.11,63.19,58.83,15.81,1500.26,526.46,19.43,3.68,1,
15,Cereme,Tephra,5.0,50,100.0,,,312.82,2318.45,9574.55,679.7,20.64,612.6,250.67,202.8,2.23,0.48,0.03,85.72,14.22,0.34,,1,
