,volcano,hazard,VEI,prob,mass,buffer,volume,pop_count,area_crops,area_urban
0,Dieng_Volcanic_Complex,Tephra,3,10.0,50,,,44030.1582,14.7501,4.7871
0,Dieng_Volcanic_Complex,Tephra,3,10.0,100,,,17165.390400000004,8.1081,1.9926
0,Dieng_Volcanic_Complex,Tephra,3,50.0,1,,,225077.8671,44.9145,31.0554
0,Dieng_Volcanic_Complex,Tephra,3,50.0,5,,,153755.9091,31.9707,15.3009
0,Dieng_Volcanic_Complex,Tephra,3,50.0,50,,,28968.3054,10.53,2.7783
0,Dieng_Volcanic_Complex,Tephra,3,50.0,100,,,9710.6688,5.3865,1.3203
0,Dieng_Volcanic_Complex,Tephra,3,90.0,1,,,206677.9557,41.9499,27.9855
0,Dieng_Volcanic_Complex,Tephra,3,90.0,5,,,143284.5045,29.2653,13.2597
0,Dieng_Volcanic_Complex,Tephra,3,90.0,50,,,25268.5008,8.9262,2.4543
0,Dieng_Volcanic_Complex,Tephra,3,90.0,100,,,7573.524300000001,4.7142,1.0692
0,Dieng_Volcanic_Complex,Tephra,4,10.0,1,,,4328367.4917,1069.9128,454.6449
0,Dieng_Volcanic_Complex,Tephra,4,10.0,5,,,1326745.6884,272.2815,145.3383
0,Dieng_Volcanic_Complex,Tephra,4,10.0,50,,,235125.74700000003,51.9129,40.8564
0,Dieng_Volcanic_Complex,Tephra,4,10.0,100,,,136269.5643,33.9147,23.6925
0,Dieng_Volcanic_Complex,Tephra,4,50.0,1,,,2439066.7916999995,605.2158,251.3592
0,Dieng_Volcanic_Complex,Tephra,4,50.0,5,,,682139.6694,147.8331,99.8406
0,Dieng_Volcanic_Complex,Tephra,4,50.0,50,,,134496.3366,33.9876,25.3773
0,Dieng_Volcanic_Complex,Tephra,4,50.0,100,,,83788.1982,24.8022,17.1234
0,Dieng_Volcanic_Complex,Tephra,4,90.0,1,,,1451885.9823000003,334.773,164.3571
0,Dieng_Volcanic_Complex,Tephra,4,90.0,5,,,436192.71120000014,99.5571,74.0664
0,Dieng_Volcanic_Complex,Tephra,4,90.0,50,,,109128.61080000002,30.0672,20.331
0,Dieng_Volcanic_Complex,Tephra,4,90.0,100,,,58094.25300000001,19.9665,11.5101
0,Dieng_Volcanic_Complex,Tephra,5,10.0,1,,,25591334.359500013,7507.5336,2786.9022
0,Dieng_Volcanic_Complex,Tephra,5,10.0,5,,,13142032.936200004,4358.8287,1429.3341
0,Dieng_Volcanic_Complex,Tephra,5,10.0,50,,,2860482.0087000006,635.5017,297.5859
0,Dieng_Volcanic_Complex,Tephra,5,10.0,100,,,1823683.3209,331.3548,163.0854
0,Dieng_Volcanic_Complex,Tephra,5,50.0,1,,,18907423.193699982,5692.5585,2066.3424
0,Dieng_Volcanic_Complex,Tephra,5,50.0,5,,,8923200.885899996,3029.2947,1000.1232
0,Dieng_Volcanic_Complex,Tephra,5,50.0,50,,,1827436.5207000002,360.5715,166.3821
0,Dieng_Volcanic_Complex,Tephra,5,50.0,100,,,669902.9751,161.7246,98.8281
0,Dieng_Volcanic_Complex,Tephra,5,90.0,1,,,15697788.092999998,4892.9508,1643.3118
0,Dieng_Volcanic_Complex,Tephra,5,90.0,5,,,6567620.988599999,2087.046,745.4673
0,Dieng_Volcanic_Complex,Tephra,5,90.0,50,,,1065802.4712000003,229.0761,117.6768
