,volcano,hazard,VEI,prob,mass,buffer,volume,pop_count,area_crops,area_urban,RNDS,buildingsLoss,month
65,Cereme,PDC,5.0,90,,,,450929.0,149.0,114.0,16372708.0,,0
66,Cereme,LC,3.0,10,,,,0.0,0.0,0.0,,,0
67,Cereme,LC,3.0,50,,,,0.0,0.0,0.0,,,0
68,Cereme,LC,3.0,90,,,,0.0,0.0,0.0,,,0
69,Cereme,LC,4.0,10,,,,540.0,1.0,1.0,,,0
70,Cereme,LC,4.0,50,,,,69.0,0.0,0.0,,,0
71,Cereme,LC,4.0,90,,,,0.0,0.0,0.0,,,0
72,Cereme,LC,5.0,10,,,,205722.0,62.0,53.0,,,0
73,Cereme,LC,5.0,50,,,,172097.0,49.0,43.0,,,0
74,Cereme,LC,5.0,90,,,,123955.0,37.0,32.0,,,0
0,Cereme,Tephra,3.0,10,,,,,,,11096211.0,0.23,1
1,Cereme,Tephra,3.0,10,1.0,,,1648240.0,630.0,295.0,,,1
2,Cereme,Tephra,3.0,10,5.0,,,411864.0,134.0,91.0,,,1
3,Cereme,Tephra,3.0,10,50.0,,,50825.0,9.0,8.0,,,1
4,Cereme,Tephra,3.0,10,100.0,,,3385.0,1.0,1.0,,,1
5,Cereme,Tephra,3.0,50,,,,,,,5191999.700000001,0.19,1
6,Cereme,Tephra,3.0,50,1.0,,,1049231.0,420.0,213.0,,,1
7,Cereme,Tephra,3.0,50,5.0,,,296787.0,79.0,67.0,,,1
8,Cereme,Tephra,3.0,50,50.0,,,16353.0,3.0,4.0,,,1
9,Cereme,Tephra,3.0,50,100.0,,,244.0,0.0,0.0,,,1
10,Cereme,Tephra,3.0,90,,,,,,,1934342.1,0.18,1
11,Cereme,Tephra,3.0,90,1.0,,,595441.0,218.0,132.0,,,1
12,Cereme,Tephra,3.0,90,5.0,,,187361.0,41.0,41.0,,,1
13,Cereme,Tephra,3.0,90,50.0,,,947.0,0.0,0.0,,,1
14,Cereme,Tephra,3.0,90,100.0,,,16.0,0.0,0.0,,,1
15,Cereme,Tephra,4.0,10,,,,,,,105134269.1,39.08,1
16,Cereme,Tephra,4.0,10,1.0,,,14769048.0,3847.0,1644.0,,,1
17,Cereme,Tephra,4.0,10,5.0,,,6407865.0,2001.0,808.0,,,1
18,Cereme,Tephra,4.0,10,50.0,,,1194013.0,482.0,194.0,,,1
19,Cereme,Tephra,4.0,10,100.0,,,652350.0,287.0,117.0,,,1
